task,train_seed,stdmax,eval_noise_sigma,diag_seed,num_probe_states,horizon,atr_q90,same_radius_q90,clean_transition_l2_median,smpr,same_radius_median,semantic_diff_l2_median,semantic_margin_median,semantic_pair_count,smpr_status,smpr_pair_rule,atr_source,smpr_source
Reacher,3072,0.06,0.08,9101,100,8,0.09333476847477239,0.6450333595275879,6.910965442657471,1.0,0.3443108797073364,18.810741424560547,18.42116928100586,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3072,0.07,0.08,9101,100,8,0.08639070683487915,0.6033676266670227,6.984172821044922,1.0,0.25583046674728394,18.71792221069336,18.50818634033203,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3072,0.08,0.08,9101,100,8,0.08880907729496679,0.6192830204963684,6.9731950759887695,1.0,0.2903764247894287,18.744281768798828,18.475008010864258,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3073,0.0,0.08,9101,100,8,2.693261122041363,18.526308059692383,6.8787641525268555,0.699999988079071,16.021183013916016,18.88134002685547,2.8028578758239746,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3073,0.01,0.08,9101,100,8,2.6027048506193275,17.911802291870117,6.88199520111084,0.8799999952316284,8.223918914794922,18.755352020263672,6.815531253814697,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3073,0.02,0.08,9101,100,8,0.6588230618793407,4.592872142791748,6.9713287353515625,0.9799999594688416,1.5097793340682983,18.622905731201172,17.03325653076172,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3073,0.03,0.08,9101,100,8,0.23340795508553996,1.6307950019836426,6.986886978149414,1.0,0.7971023917198181,18.518836975097656,17.597444534301758,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3073,0.04,0.08,9101,100,8,0.15381685673917023,1.0735242366790771,6.979236602783203,0.9799999594688416,0.4821857213973999,18.373287200927734,18.041141510009766,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3073,0.05,0.08,9101,100,8,0.11123624434477171,0.7743006944656372,6.960866928100586,0.9799999594688416,0.39582744240760803,18.72201919555664,18.27404022216797,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3073,0.06,0.08,9101,100,8,0.09228874708655786,0.6527312397956848,7.072706699371338,0.9899999499320984,0.32003098726272583,18.747364044189453,18.40583038330078,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
